date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2010-01-05,,,,,,,,,,
2010-01-06,,,,,,,,,,
2010-01-07,,,,,,,,,,
2010-01-08,,,,,,,,,,
2010-01-11,,,,,,,,,,
2010-01-12,,,,,,,,,,
2010-01-13,,,,,,,,,,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-19,,,,,,,,,,
2010-01-20,,,,,,,,,,
2010-01-21,,,,,,,,,,
2010-01-22,,,,,,,,,,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,,,,,,,,,
2010-02-03,,,,,,,,,,
2010-02-04,,,,,,,,,,
2010-02-05,,,,,,,,,,
2010-02-08,,,,,,,,,,
2010-02-09,,,,,,,,,,
2010-02-10,,,,,,,,,,
2010-02-11,,,,,,,,,,
2010-02-12,,,,,,,,,,
2010-02-16,,,,,,,,,,
2010-02-17,,,,,,,,,,
2010-02-18,,,,,,,,,,
2010-02-19,,,,,,,,,,
2010-02-22,,,,,,,,,,
2010-02-23,,,,,,,,,,
2010-02-24,,,,,,,,,,
2010-02-25,,,,,,,,,,
2010-02-26,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-03-02,,,,,,,,,,
2010-03-03,,,,,,,,,,
2010-03-04,,,,,,,,,,
2010-03-05,,,,,,,,,,
2010-03-08,,,,,,,,,,
2010-03-09,,,,,,,,,,
2010-03-10,,,,,,,,,,
2010-03-11,,,,,,,,,,
2010-03-12,,,,,,,,,,
2010-03-15,,,,,,,,,,
2010-03-16,,,,,,,,,,
2010-03-17,,,,,,,,,,
2010-03-18,,,,,,,,,,
2010-03-19,,,,,,,,,,
2010-03-22,,,,,,,,,,
2010-03-23,,,,,,,,,,
2010-03-24,,,,,,,,,,
2010-03-25,,,,,,,,,,
2010-03-26,,,,,,,,,,
2010-03-29,,,,,,,,,,
2010-03-30,,,,,,,,,,
2010-03-31,,,,,,,,,,
2010-04-01,0.00046174973,1.6018748e-05,0.00022211671,0.0054812506,-0.00038686767,0.0014948547,0.00047375262,0.0005568564,-0.003197737,0.0001539588
2010-04-05,0.004486233,-0.0039503574,0.0016759634,0.00044057518,-0.0024877824,0.0026477873,-0.0031672716,0.00070238113,-0.005760722,-0.0005086437
2010-04-06,-0.0016357452,-0.0008355975,-0.00017610192,0.003171049,-0.0029857494,-0.0032483935,-0.003357932,-0.0020906925,-0.009315535,-0.001481317
2010-04-07,-0.000243783,0.0024350584,-0.0012831688,0.006642185,-0.0016411878,-0.0024170727,-0.0012966245,-0.0025256574,-0.005274929,-0.004540678
2010-04-08,-0.0027739406,0.0026836842,0.0015010089,0.005927548,-0.0021593906,-0.0050173253,-0.0032203197,-0.001994133,-0.006812066,-0.0003381297
2010-04-09,0.001666382,0.002714038,-0.0025642812,0.0038417354,-0.0031963028,-0.0053022206,-0.0038859844,-0.003269434,-0.0087253,-0.0046515614
2010-04-12,0.0019197986,-0.002385825,-0.0013051778,0.0037764981,-0.0035750307,-0.0017048717,-0.005167678,-0.0028562546,-0.007642098,-0.0042758584
2010-04-13,-0.00209447,0.0006313771,-0.00090906024,0.0058177635,-0.00063404813,-0.0030382574,-0.0015883148,-0.0007543862,-0.0058759674,-0.00023696199
2010-04-14,0.0015483722,-0.002618149,-0.0014652461,0.003845498,-0.00048065558,-0.00050987303,-0.0030387342,-0.000611186,-0.0044637024,0.0004287474
2010-04-15,-0.005343884,0.00091326237,-0.0044923723,0.00773596,-0.0023843683,-0.0063332766,-0.005445957,-0.007006228,-0.008211926,-0.003973998
2010-04-16,0.003004387,0.0010296851,-0.00074216723,0.002651848,-0.0025022663,-0.0021857321,-0.0054219365,-0.0068671703,-0.0051913783,-0.0014984645
2010-04-19,-0.0017780885,0.00594455,0.0034175962,0.013883688,-0.0032424964,-0.0035084486,-0.0031449944,-0.0021456182,-0.0027769879,-0.0067213327
2010-04-20,0.0032301024,-2.7745962e-05,-0.0012789518,0.0052432716,-0.0023842193,-0.0021661967,-0.0044900477,-0.0022701323,-0.0052923337,-0.0034118146
2010-04-21,0.00040257722,-0.0033596456,-0.0036780536,0.0037529916,-0.0016149618,-0.0006853491,-0.004029557,0.0012369156,-0.0069923997,-0.0024292879
2010-04-22,-0.0009819493,-0.0008033365,0.00245817,0.0012340024,-0.003495548,-0.0028260052,-0.0022390783,-0.004274726,-0.010533564,-0.006279744
2010-04-23,-0.0006054044,-0.00042568147,-0.00032751262,0.0013619661,-0.004874382,-0.0024877489,-0.004336044,-0.0049468875,-0.012021184,-0.005905453
2010-04-26,0.0016175434,-0.0040275306,0.002745673,0.0025533512,-0.0024648942,0.0025544167,-0.0008916706,0.00064632297,-0.0071340054,0.00042405352
2010-04-27,-0.0028442442,0.0040361583,0.00015680492,0.007864915,-0.0023459531,-0.005018458,-0.003442824,-0.0014137626,-0.0069668666,-0.0033326969
2010-04-28,0.0062778294,-1.874566e-05,0.0022867918,0.0058530867,-0.0003282763,0.0031055212,0.000499323,0.0047622323,-0.0011712834,0.0027577318
2010-04-29,0.0009934157,-0.0023220181,-0.00014200807,0.005481072,-0.0011202432,3.7550926e-05,-0.002149716,0.0014325976,-0.00489337,-0.000954289
2010-04-30,-0.001540266,0.0009280145,-0.00062707067,0.00572823,-0.0017159022,-0.0035966486,-0.0031268746,-0.0050979555,-0.006154835,-0.0033485629
2010-05-03,0.0070072636,0.0021754056,0.0027848333,0.008367769,0.00043058023,0.003429383,0.0023130178,0.0044297874,0.001288481,0.0018413402
2010-05-04,-0.0013612807,-0.000346601,-0.00063225627,0.0035067126,-0.0033406056,-0.0049329996,-0.0045872927,-0.0040022433,-0.009969927,-0.0013190806
2010-05-05,0.0056507736,0.0026338547,0.0061658025,0.0066701695,-0.0026213564,0.00322102,0.002013281,0.00602898,-0.0038157627,0.001970943
2010-05-06,0.00071389973,0.00075402856,-0.00010447204,0.0050091445,-0.00032753125,-6.818771e-05,0.001156196,0.0033397079,-0.0055546314,0.0007859431
2010-05-07,0.002895303,0.0035864264,0.0028638095,0.0065374076,-8.711591e-05,0.0028660446,0.0037153214,0.0065936446,-0.003046371,0.0035197102
2010-05-10,0.00086817145,0.0010605305,0.0017340332,0.005715996,0.00036269054,0.0025726408,0.0014886111,0.0067653656,-0.0033810064,0.0057486035
2010-05-11,-0.0017240271,-0.008966848,-0.006664306,-0.0041329414,-0.0045408346,-0.0034727156,-0.008479789,-0.011233747,-0.015181795,-0.007747546
2010-05-12,-0.0021901801,0.0014018863,0.0014968067,0.009779602,-0.000878606,-0.0022879243,-0.002107352,-0.00035318732,-0.003097996,-0.0038408823
2010-05-13,-0.0032937378,-0.0006734431,-0.0034129769,0.0046793744,-0.004756782,-0.00586015,-0.0081332475,-0.00752455,-0.011046097,-0.006118618
2010-05-14,0.0045872927,-0.00087606907,0.0027146637,0.00097035617,-0.0011835136,0.0010149479,-0.00024153292,0.005911857,-0.006269343,0.0029604174
2010-05-17,0.003147982,0.0013041049,0.0017932206,0.00657019,-0.0009044744,0.00070503354,0.0016323477,0.0043777525,-0.0045564696,0.00095880404
2010-05-18,-0.0022036359,4.1782856e-05,-0.0013835877,0.0062259063,-0.0015544631,-0.0029241145,-0.0029190332,-0.0009903312,-0.0073316097,-0.0014566854
2010-05-19,0.001462467,0.0018911511,0.003003016,0.006598398,-0.00151572,-0.0005784333,0.00038038194,0.0030852556,-0.0057986304,-0.0006211251
2010-05-20,9.11504e-05,0.0012225956,9.226799e-05,0.007719353,-0.00041196123,-0.00022789836,-0.0018787235,0.0002606809,-0.0032888353,0.0010962822
2010-05-21,-0.0011495799,0.006439507,0.005177304,0.01131703,0.0009665154,0.000654757,0.0050948113,0.008074701,-0.0023022667,0.005114738
2010-05-24,-0.003329903,0.0010458082,2.6613474e-05,0.0029787868,-0.0024011768,-0.0031711757,-0.0032188445,-0.002376467,-0.010680094,-0.002829209
2010-05-25,0.0022639558,0.00022250414,0.002327174,0.002165839,-0.0012708046,0.00090044737,0.00096960366,9.62615e-06,-0.0076914877,-5.3998083e-05
2010-05-26,-0.0027895719,0.0020147115,-0.0023543835,0.0077136755,-0.0003168024,-0.0029201508,-0.0024665296,-0.0018193126,-0.0060929656,-0.0018097982
2010-05-27,-0.0013709664,0.0023045242,0.0032740235,0.004469432,0.00038477406,0.0012596697,0.0025690645,0.0023615062,-0.005717464,0.0039939396
2010-05-28,-0.0010052547,-0.0059568137,-0.00552465,0.00027932227,-0.0045845546,-0.007015541,-0.012502566,-0.0089125335,-0.013285972,-0.0069685653
2010-06-01,0.002700448,-0.0011305064,0.0023513287,0.0049106106,-0.0018440522,0.00068581104,-0.0018584281,0.00079217553,-0.0058331043,-0.0034378357
2010-06-02,0.007750146,-0.0029846132,0.002143532,0.0021692142,-0.00332788,0.0023683757,-0.0038700104,-0.0002578795,-0.006086208,-0.0046207085
2010-06-03,-0.0010617226,-0.002577901,-0.0039325953,0.0015639216,-0.0035268106,-0.0049862415,-0.007972702,-0.004334718,-0.011384904,-0.00279795
2010-06-04,-0.00022453815,-0.001173228,-0.0033890307,0.005332224,-0.00070485845,-0.0034229457,-0.004497513,-0.00035220385,-0.0060552508,-0.0014180504
2010-06-07,0.003053531,0.002929628,0.005638659,0.0065969527,0.0010087453,0.0036365092,0.006486073,0.008672625,-0.0025366098,0.0062921382
2010-06-08,0.0023502037,0.003749922,0.002643928,0.0076490715,-0.000688944,0.0007878393,0.0011536777,0.0034065843,-0.0035142452,-0.001084365
2010-06-09,-0.0012978986,-0.001224637,0.0009978563,0.006093353,-0.00037023798,-0.0012572557,-0.0019196719,0.0031642318,-0.005953431,0.00080898777
2010-06-10,-0.00038921088,0.003528878,0.0010964572,0.00784903,-0.0011032559,-0.0019380152,-0.0010278076,0.0023882687,-0.0056521967,6.484985e-05
2010-06-11,-0.0023825988,-0.0030079633,-0.004687175,0.00079101324,-0.0024540462,-0.0035630614,-0.006374255,-0.0061312616,-0.011192709,-0.0051147863
2010-06-14,0.0011455119,-0.001894772,-0.0010672212,0.00489711,-0.0024061538,-0.0049873143,-0.00840871,-0.0027900338,-0.006914906,-0.0053906925
2010-06-15,-5.5357814e-05,0.001379326,0.00021857023,0.0048319697,-0.0023444332,-0.0020530224,-0.004489124,-0.0034955144,-0.0066347793,-0.0023846366
2010-06-16,-0.003050074,-0.0042921156,-0.005105406,0.0030327365,-0.0032378174,-0.008360639,-0.010714665,-0.005282283,-0.0114623755,-0.005219009
2010-06-17,-0.0017178208,-0.0009653121,0.0013926178,0.002642557,-0.0024352707,-0.001947388,-0.001723811,-0.0022447705,-0.009452045,-0.0013999641
2010-06-18,0.0018440038,-0.0033838004,0.0007264316,0.0016253814,-0.0034619607,0.00033037364,-0.0042413026,-0.0012153983,-0.008724727,-0.0035598539
2010-06-21,0.0011565387,-0.0014535636,0.00037282705,0.0025800169,-0.0029688217,-0.0008071363,-0.003247127,-0.00032886863,-0.008831434,-0.0024210177
2010-06-22,-0.0006012842,0.0021790415,0.003010422,0.0069478676,-0.001273457,0.00044606626,-0.0004711002,0.001868546,-0.0045228675,0.0015215166
2010-06-23,0.0024206415,0.00064498186,0.0021117032,0.0036166087,-0.0020986833,0.0004388541,-0.0016892999,-0.0017917752,-0.006097123,-0.0024751015
2010-06-24,-0.0047374144,0.008994833,0.0030370206,0.012138955,0.0010496043,-0.006056547,0.0010707676,-0.0018495917,-0.0023800135,0.004162874
2010-06-25,0.004017353,-0.00012102723,0.0034410805,0.0037560165,-0.0018080808,0.0016368032,-0.00053597987,0.003029585,-0.0065909475,-0.00077348575
2010-06-28,-0.0054077134,0.003400743,-0.00091169775,0.010276407,0.0014301203,-0.002586931,0.0012905449,0.0011399388,-0.0047657117,-0.0008708425
2010-06-29,0.0007510334,0.0033811033,0.0034602284,0.0042342395,-0.002881769,-0.0043301582,-0.0037861168,-0.004194349,-0.00823582,0.0026431642
2010-06-30,0.009180732,0.0036371052,0.006916642,0.012071207,0.0024417304,0.007829338,0.0036062896,0.006306559,0.008149371,0.004821826
2010-07-01,0.0006646365,0.0046774745,0.002105385,0.0070234537,-0.0013586618,-0.0019998252,-0.0011395663,0.0010872483,-0.0055241063,-0.0006609373
2010-07-02,-0.00041230023,0.00089743733,-0.00057916343,0.006704338,-0.00154588,-0.002876252,-0.00454928,0.00092208385,-0.0062044635,-0.0036684163
2010-07-06,0.0037034303,-0.0017964095,0.00039376318,0.0058644414,-0.002204243,0.00033727288,-0.00414069,0.000567466,-0.005000323,-0.00276855
2010-07-07,0.0053906143,0.0015603304,0.0003734678,0.0031960458,-0.0049604513,-0.0045110285,-0.008558914,-0.005934596,-0.008261196,-0.004188936
2010-07-08,-0.0023440868,-0.0030429363,-0.0032262206,0.0012213886,-0.0037278272,-0.0053759813,-0.0076060593,-0.006940633,-0.0123051405,-0.003983967
2010-07-09,0.0020430312,-0.0003849566,-0.0017879158,0.0037953332,-0.0013860501,-0.0009878874,-0.003343448,1.8507242e-05,-0.0065492094,-0.0020814985
2010-07-12,0.00088599324,-0.0033027083,-0.0023899525,0.0033341274,-0.00043261424,0.001280874,-0.0017680675,0.00034838915,-0.0065462217,-0.001180023
2010-07-13,0.0038453043,-0.00045250356,-0.0032851696,0.0044546127,-0.0017996766,-0.0035349429,-0.0076616704,-0.0030616522,-0.0055685043,-0.0032414868
2010-07-14,0.00025364012,-0.0031040013,-0.0064236075,0.0029243305,-0.0013134815,-0.0020739585,-0.0053610653,-0.00015795231,-0.008808367,-0.0017927438
2010-07-15,0.0040174276,-0.0011614412,-0.0010575801,0.0038105398,-0.002859179,-0.0022420585,-0.0068656355,-0.003922403,-0.0063361973,-0.003805451
2010-07-16,0.004075736,-0.002315417,-0.00039346516,0.0026876703,-0.0020329691,-7.298589e-05,-0.0053225458,-0.0002989769,-0.006150745,-0.0022222549
2010-07-19,-0.0007962808,0.007096842,0.0068486333,0.010829523,-0.0019421317,-0.0020977706,-0.0022352934,6.535649e-05,-0.0022292882,-0.0038920455
2010-07-20,0.001671426,-0.00086702406,-0.004207298,0.004854977,-0.0015633442,-0.0030415654,-0.0072805285,-0.0029666424,-0.0064188093,-0.0025004745
2010-07-21,0.004009329,-0.0048565716,-2.039969e-05,-0.0019517168,-0.0016216375,-0.0011954755,-0.0062753707,-0.0013259947,-0.008894116,-0.003194198
2010-07-22,0.0030629262,-0.001103729,0.0032553077,0.0036622807,-0.0008275844,0.0011664927,-0.0018014163,0.0012919605,-0.005429335,-0.0026176162
