date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2010-01-05,,,,,,,,,,
2010-01-06,,,,,,,,,,
2010-01-07,,,,,,,,,,
2010-01-08,,,,,,,,,,
2010-01-11,,,,,,,,,,
2010-01-12,,,,,,,,,,
2010-01-13,,,,,,,,,,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-19,,,,,,,,,,
2010-01-20,,,,,,,,,,
2010-01-21,,,,,,,,,,
2010-01-22,,,,,,,,,,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,,,,,,,,,
2010-02-03,,,,,,,,,,
2010-02-04,,,,,,,,,,
2010-02-05,,,,,,,,,,
2010-02-08,,,,,,,,,,
2010-02-09,,,,,,,,,,
2010-02-10,,,,,,,,,,
2010-02-11,,,,,,,,,,
2010-02-12,,,,,,,,,,
2010-02-16,,,,,,,,,,
2010-02-17,,,,,,,,,,
2010-02-18,,,,,,,,,,
2010-02-19,,,,,,,,,,
2010-02-22,,,,,,,,,,
2010-02-23,,,,,,,,,,
2010-02-24,,,,,,,,,,
2010-02-25,,,,,,,,,,
2010-02-26,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-03-02,,,,,,,,,,
2010-03-03,,,,,,,,,,
2010-03-04,,,,,,,,,,
2010-03-05,,,,,,,,,,
2010-03-08,,,,,,,,,,
2010-03-09,,,,,,,,,,
2010-03-10,,,,,,,,,,
2010-03-11,,,,,,,,,,
2010-03-12,,,,,,,,,,
2010-03-15,,,,,,,,,,
2010-03-16,,,,,,,,,,
2010-03-17,,,,,,,,,,
2010-03-18,,,,,,,,,,
2010-03-19,,,,,,,,,,
2010-03-22,,,,,,,,,,
2010-03-23,,,,,,,,,,
2010-03-24,,,,,,,,,,
2010-03-25,,,,,,,,,,
2010-03-26,,,,,,,,,,
2010-03-29,,,,,,,,,,
2010-03-30,,,,,,,,,,
2010-03-31,,,,,,,,,,
2010-04-01,0.14190415,0.030943327,0.009917535,0.026124269,0.08574563,0.002643779,0.008549884,-0.056369163,0.06607259,-0.14594908
2010-04-05,0.18185121,-0.043118514,0.051960707,-0.11217496,0.07370858,-0.0069174618,0.0008101016,-0.008456969,0.04834428,-0.13093635
2010-04-06,0.11279613,0.04893463,0.089058354,-0.055301636,0.0050530136,-0.05715038,0.009113014,-0.01597754,-0.01316144,-0.0015333891
2010-04-07,0.13120756,0.1052359,0.065965705,0.070478976,0.03595406,-0.032754794,0.029156849,-0.058147572,0.040571403,-0.09979229
2010-04-08,0.088014156,0.12362196,0.060810924,-0.047327936,0.033527598,-0.05863078,0.015498981,-0.06261405,-0.0068932907,0.026229873
2010-04-09,0.03825473,0.15159032,0.15819518,0.04277432,0.010627314,-0.082952395,0.061591625,-0.059622295,-0.0056352764,-0.013853729
2010-04-12,0.19168949,-0.030899875,0.031730644,0.02253297,0.033444405,-0.07698694,0.10010357,0.011672041,0.014500971,-0.08503164
2010-04-13,-0.019744776,0.12270766,0.08416065,0.029738665,0.077759966,-0.107980415,0.031900458,-0.09282041,-0.01061302,-0.01873739
2010-04-14,0.052755333,0.02539856,0.07492767,-0.038010046,0.12188803,-0.060478285,0.06517501,-0.06335939,0.018408537,-0.06612843
2010-04-15,0.12576428,0.06954578,0.0011142269,0.07656965,0.03923568,-0.029953673,0.015209213,-0.007318319,-0.01669922,-0.036647424
2010-04-16,0.13377282,0.15603283,0.071432985,-0.11170268,0.055802643,-0.00044712424,0.04608588,-0.084712386,0.036209878,-0.048924305
2010-04-19,0.25029045,0.06439067,-0.046564303,0.05693823,-0.016007498,-0.04590656,0.04865648,-0.052777775,0.039371368,-0.10149986
2010-04-20,0.11709013,0.056989826,0.08714392,0.044962198,0.035868555,-0.08666478,0.14150092,-0.049766965,0.033296533,-0.032272577
2010-04-21,0.12273399,-0.032371156,0.0073242113,0.12207323,0.13158894,0.06066899,-0.03156714,0.027759515,-0.03883221,-0.13977018
2010-04-22,0.19864455,0.07514056,0.13193662,-0.082276285,-0.025307015,-0.08980362,0.018036753,-0.041665383,0.03583124,-0.13386577
2010-04-23,0.2639372,0.06330749,0.07471467,-0.03425148,-0.051844373,0.0026365072,-0.028609917,0.008719823,-0.0055646524,-0.12676826
2010-04-26,0.19129291,-0.04639066,0.06659272,-0.077788055,-0.0013304204,-0.07688804,0.029426426,-0.020404138,0.044452384,-0.0980838
2010-04-27,0.15029886,0.17411342,0.012389928,0.08916673,0.041126415,0.016142324,-0.04305093,-0.059066027,-0.03854524,-0.04577204
2010-04-28,0.08979026,0.027378403,0.088864334,-0.021837562,0.055785462,-0.042606845,0.06264423,-0.070266865,0.057998266,-0.04214318
2010-04-29,0.15208718,-0.08044072,-0.00027700514,0.031242669,0.0861509,-0.0672593,0.045762546,-0.014497348,0.025072962,-0.13138543
2010-04-30,0.16220278,0.12149655,0.060534395,-0.024101198,0.035975873,-0.06743379,0.04871528,-0.06112329,0.026082326,-0.10269137
2010-05-03,0.104741834,0.041749246,0.0796986,0.004021138,0.028064996,-0.05891712,0.071081236,-0.07239733,0.06843277,-0.053660303
2010-05-04,0.11298088,0.08859681,0.109151274,-0.09472963,-0.011378124,-0.06555578,0.05067621,-0.022668667,-0.0143987695,0.025903165
2010-05-05,0.17041415,0.038243435,0.07746781,-0.025889397,-0.018226922,-0.046795115,0.052419834,-0.058890067,0.05612504,-0.041162223
2010-05-06,0.031808533,0.078478225,0.11932217,0.03177157,0.07111561,-0.017654106,-0.013593927,-0.05770167,0.031125274,-0.08218233
2010-05-07,0.09793187,0.08916547,0.08404215,0.0076958835,0.023821011,0.018561736,-0.02534546,-0.08021163,0.071276456,-0.042189106
2010-05-10,0.07997385,0.027554654,0.038585894,0.019640148,0.088302955,0.05109124,-0.062925264,-0.047554687,0.01708617,-0.045566104
2010-05-11,0.17842785,-0.021230824,0.068251,-0.035067707,0.049479067,-0.03191927,-0.0027857274,0.037610166,-0.018258283,-0.13590005
2010-05-12,0.20097268,0.043253265,-0.021322884,0.056692064,0.062080815,-0.058376834,0.015426561,-0.05448272,0.03178106,-0.13473055
2010-05-13,0.19699705,0.035971873,0.01062765,0.017496109,0.023629338,-0.0037086755,-0.011782125,0.045182995,-0.028065976,-0.046921745
2010-05-14,0.0012053028,0.08781081,0.21362975,-0.18661517,0.04161477,-0.057292506,-0.009892583,-0.06783456,0.022976458,-0.009920716
2010-05-17,0.05739834,0.03879518,0.13027361,0.0209966,-0.01412531,-0.10663529,0.07570339,-0.06621168,0.05904905,-0.024645641
2010-05-18,0.09532386,0.03876803,0.045505997,0.043483943,0.011978835,-0.060271382,0.0055490583,-0.008168393,-0.0041892915,-0.024575725
2010-05-19,0.1110863,0.060971193,0.13531813,0.011179268,-0.037926838,-0.11022101,0.06338692,-0.06676317,0.06797728,-0.036352187
2010-05-20,0.12100308,0.035000637,-0.029053397,0.06554559,0.062288225,0.010351509,0.0066256076,-0.05434815,0.03861939,-0.05037722
2010-05-21,0.06903126,0.10487079,0.08357823,0.050814956,-0.03962764,-0.05479355,-0.003734842,-0.12914784,0.059339214,0.016585886
2010-05-24,0.15430707,0.08900752,0.052577585,0.00015050173,-0.0026916265,0.012979224,-0.072456226,-0.0015405314,-0.016872393,-0.09480062
2010-05-25,0.11285242,0.06220036,0.17405444,-0.11078142,-0.051466867,-0.10266341,0.027451448,-0.06391587,0.09247182,-0.07528918
2010-05-26,0.073275544,0.102775894,-0.0040414706,0.17403555,0.050226927,-0.0057723075,-0.017598495,-0.042116024,0.017946072,-0.06080179
2010-05-27,0.09312756,0.08614185,0.08569285,-0.079854846,-0.0042434037,-0.008727834,-0.06164077,-0.06743289,0.067249335,-0.08116842
2010-05-28,0.13996285,0.023822896,0.055606198,-0.061824888,0.042400002,-0.032140538,-0.0006466657,0.05700796,-0.029856779,-0.029464483
2010-06-01,0.19627759,0.027542599,0.078310944,-0.04968211,0.005604416,-0.0741096,0.0245011,-0.023925222,0.08519101,-0.13613746
2010-06-02,0.18105045,0.01509133,0.09700911,-0.06574154,0.012338072,-0.07746725,0.05189193,-0.016521312,0.08192791,-0.10147257
2010-06-03,0.082960874,0.053755008,0.08443257,-0.0487583,0.05463545,-0.011415347,-0.021943405,0.038944326,-0.044299237,0.01199244
2010-06-04,-0.06264747,0.08996562,0.09069302,0.056043267,0.15065154,-0.085684225,0.03184583,-0.023879416,-0.054367013,-0.016107723
2010-06-07,0.04563,0.047870807,0.15473881,-0.05069764,-0.039785057,-0.09770964,0.027281046,-0.09190593,0.08500971,-0.022619814
2010-06-08,0.13353178,0.08944211,0.08327444,0.01439172,-0.012068406,-0.03248115,0.006945297,-0.057743184,0.08184526,-0.06629665
2010-06-09,0.08582526,-0.01562684,0.05704307,-0.028904498,0.029718101,-0.06737885,-0.007445559,-0.022917323,0.0123103475,-0.03843926
2010-06-10,0.07291409,0.13129735,0.063749075,0.0841929,-0.03674133,-0.014119774,-0.00015960634,-0.08201894,0.0134949135,0.03354475
2010-06-11,0.1316711,0.02418875,0.03628262,0.023844898,0.055251256,0.0224825,-0.047773868,0.046768747,-0.025081698,-0.12915209
2010-06-14,0.12277254,0.05578678,0.04631808,-0.07787447,0.086505175,-0.11865972,0.10175906,-0.006382593,-0.011252856,0.008020431
2010-06-15,0.18464139,0.10595437,-0.03045071,-0.009839267,0.015363991,0.048817933,-0.044665202,-0.020245615,0.03323935,-0.0867197
2010-06-16,0.072408475,0.045537107,0.062804,-0.04398793,0.060425535,-0.0587475,0.000120565295,0.032850645,-0.0440056,0.0025731772
2010-06-17,0.14000848,0.054349415,0.12578326,-0.099610925,-0.046350405,-0.095522806,0.00013048947,-0.03878989,0.023305915,-0.07944248
2010-06-18,0.2410169,-0.05257698,0.06261868,-0.07336861,0.013532162,-0.061381742,0.0053470135,0.030864902,0.025629822,-0.16019045
2010-06-21,0.17438981,0.017106123,0.1562086,-0.04761821,-0.0056280196,-0.082597956,0.013719216,0.0075060045,0.012070901,-0.09449988
2010-06-22,0.16111383,0.044569306,0.007673703,-0.017813534,0.001139,-0.016291842,-0.028405398,-0.058041982,0.044084273,-0.045443043
2010-06-23,0.16974923,0.0725284,0.123991095,-0.07948558,-0.016416922,-0.076163545,0.02934461,-0.04205849,0.102204956,-0.09582476
2010-06-24,0.0041754395,0.17519468,0.10445495,-0.034819394,-0.0070670396,-0.12180306,0.06472461,-0.11778812,0.03981839,0.055696234
2010-06-25,0.12312279,0.027414478,0.1350879,-0.052746832,-0.026044749,-0.080850706,0.0336051,-0.02926249,0.07684065,-0.05442293
2010-06-28,0.05243735,0.07544429,0.028469346,0.15414771,0.0355009,-0.0388764,-0.024706632,-0.0515415,0.022458486,-0.095407315
2010-06-29,0.06070876,0.1252512,0.12461765,-0.14591384,-0.049240664,-0.08173323,0.06150779,-0.084308095,0.04536307,0.06871827
2010-06-30,0.12771147,0.029902287,0.026464716,-0.016143799,0.046267033,-0.037340537,0.032380328,-0.07170964,0.092391446,-0.079002574
2010-07-01,0.07320987,0.21984005,0.11400556,0.05160609,-0.035753205,-0.020507112,-0.024685487,-0.12523744,0.07076894,0.016774386
2010-07-02,0.11140127,0.09400018,-0.0134225935,0.12829831,0.08797,0.03194143,-0.07016289,-0.009699875,-0.020296026,-0.091243066
2010-07-06,0.13163903,-0.0376027,0.013037987,0.027989775,0.03317827,-0.07441105,0.069457226,-0.008544304,0.045863517,-0.08623055
2010-07-07,0.07589463,0.14717883,0.13203523,-0.12936197,-0.049539,-0.111675546,0.15006135,-0.06737045,0.03210839,0.07080297
2010-07-08,0.10120944,0.061427377,0.07703952,-0.07519972,0.014909565,-0.060909465,0.0023063868,0.0061144596,-0.01176263,-0.032752886
2010-07-09,0.05603703,0.093962245,0.09519337,-0.0039929748,0.071684584,-0.0039366037,-0.0044662505,-0.0017001564,0.025447704,-0.08677362
2010-07-12,0.09891955,-0.04424008,0.05034869,0.018761903,0.06410535,-0.017000929,0.0020293295,0.01924602,0.036049943,-0.14902999
2010-07-13,-0.015673868,0.11572411,0.09027027,-0.0052977055,0.107065395,-0.06510198,0.105312645,-0.027719088,-0.023022119,0.050954163
2010-07-14,0.022365801,0.014607929,0.043374225,0.090256095,0.10228859,0.03955908,-0.055241838,0.053620882,-0.02635894,-0.045430996
2010-07-15,0.107424356,0.015091926,0.044037938,-0.07040985,-0.0037004352,-0.0865843,0.14483061,-0.040769152,0.04503439,-0.0043141097
2010-07-16,0.1216878,-0.06297747,0.035264842,-0.07368782,0.08158602,0.010034844,0.03296727,-0.0072299326,0.035922993,-0.09913439
2010-07-19,0.21674982,0.09570605,-0.040013514,-0.018478632,-0.0060830563,-0.016957447,-0.022879153,-0.07935477,0.06953879,-0.089410186
2010-07-20,0.0059965104,0.021834426,0.024965607,0.07792786,0.12205446,0.013349585,0.022308901,0.021286592,-0.021124173,0.031472012
2010-07-21,0.075842984,0.013703175,0.15410164,-0.202544,0.07196522,-0.06600328,0.011241287,-0.026124619,0.010935982,-0.106967606
2010-07-22,0.15861198,-0.015811853,0.06917046,-0.069892675,0.011175424,-0.077799544,0.008717358,-0.04543533,0.09108849,-0.12426566
2010-07-23,0.14667341,-0.012653388,0.054336883,-0.029618025,0.05731669,-0.017492846,-0.001131475,0.061933525,-0.052577533,-0.04259008
2010-07-26,0.13045514,-0.06676959,0.035628952,-0.02111271,0.10751714,0.014362931,-0.04265724,0.010400384,-0.0037235855,-0.16870981
2010-07-27,0.09407039,0.058958344,0.0026537552,-0.029255062,0.12212156,-0.0034627467,-0.019085288,-0.02988895,-0.021422561,-0.03431289
2010-07-28,0.1493586,-0.012037493,0.06393777,-0.09086129,0.08309266,-0.061372742,0.006739661,-0.02962958,0.02975208,-0.1488965
2010-07-29,0.09699478,0.14231366,0.110521734,0.025337964,-0.028729819,-0.05433382,0.03776873,-0.11450533,0.08285527,0.00707902
2010-07-30,0.11699339,0.040298246,0.08133307,-0.052695215,0.07632394,-0.005944833,0.009019896,-0.028553136,0.059784893,-0.09633873
2010-08-02,0.12686172,0.013271265,0.045893062,0.02263859,0.05297014,-0.02373679,0.012104839,-0.027619608,0.058514845,-0.12790164
2010-08-03,0.14895445,0.0033511147,0.059509076,-0.05031544,0.015469432,-0.022816151,-0.003984645,0.04083007,-0.024529316,-0.032215685
2010-08-04,0.06537511,0.12523535,0.12665528,0.0066694915,-0.002128169,-0.058532193,0.020584166,-0.08939766,0.04361307,-0.05513426
2010-08-05,-0.0016268864,0.035845436,0.12997773,0.03000772,0.00809975,-0.035761356,-0.06295043,-0.021228611,-0.020374425,-0.08687477
